cid,molecular_weight,iupac_name,isomeric_smiles,molecular_formula
5288811,682.8,"[(1S,2R,3R,4S,5R,6S,8R,9S,10S,13S,16S,17R,18S)-11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-13-yl]methyl 2-[(3S)-3-methyl-2,5-dioxopyrrolidin-1-yl]benzoate",CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2[C@@H]([C@@]([C@H]31)([C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@H]5[C@H]6OC)OC)O)O)OC)OC)COC(=O)C7=CC=CC=C7N8C(=O)C[C@@H](C8=O)C,C37H50N2O10
66519,175.18,"1-phenylpyrrolidine-2,5-dione",C1CC(=O)N(C1=O)C2=CC=CC=C2,C10H9NO2
3932,391.5,"1-phenyl-3,3-bis(pyridin-4-ylmethyl)indol-2-one",C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5,C26H21N3O
71678098,555.4,"(4S)-5-(5-chloro-1-methyl-2-oxopyridin-3-yl)-4-(4-chlorophenyl)-2-(2,4-dimethoxypyrimidin-5-yl)-3-propan-2-yl-4H-pyrrolo[3,4-d]imidazol-6-one",CC(C)N1C2=C(C(=O)N([C@H]2C3=CC=C(C=C3)Cl)C4=CC(=CN(C4=O)C)Cl)N=C1C5=CN=C(N=C5OC)OC,C26H24Cl2N6O4
11723708,323.4,"2-[2,6-di(propan-2-yl)phenyl]-5-hydroxyisoindole-1,3-dione",CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=C(C2=O)C=C(C=C3)O,C20H21NO3
9905583,331.17,"2-(2,4-difluorophenyl)-4,5,6,7-tetrafluoroisoindole-1,3-dione",C1=CC(=C(C=C1F)F)N2C(=O)C3=C(C2=O)C(=C(C(=C3F)F)F)F,C14H3F6NO2
5463973,693.9,"4,5,6,7-tetrachloro-2-[2-(4,5,6,7-tetrachloro-1,3-dioxoinden-2-yl)quinolin-8-yl]isoindole-1,3-dione",C1=CC2=C(C(=C1)N3C(=O)C4=C(C3=O)C(=C(C(=C4Cl)Cl)Cl)Cl)N=C(C=C2)C5C(=O)C6=C(C5=O)C(=C(C(=C6Cl)Cl)Cl)Cl,C26H6Cl8N2O4
2912652,223.20,1-(4-fluorophenyl)-5-oxopyrrolidine-3-carboxylic acid,C1C(CN(C1=O)C2=CC=C(C=C2)F)C(=O)O,C11H10FNO3
2832097,393.4,"3,3-bis(4-hydroxyphenyl)-2-phenylisoindol-1-one",C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3C2(C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,C26H19NO3
1471834,366.3,1-phenyl-3-[3-(trifluoromethyl)phenyl]iminoindol-2-one,C1=CC=C(C=C1)N2C3=CC=CC=C3C(=NC4=CC=CC(=C4)C(F)(F)F)C2=O,C21H13F3N2O
941731,388.8,"[(7R)-6-(5-chloropyridin-2-yl)-5-oxo-7H-pyrrolo[3,4-b]pyrazin-7-yl] 4-methylpiperazine-1-carboxylate",CN1CCN(CC1)C(=O)O[C@@H]2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,C17H17ClN6O3
784235,253.25,3-oxo-2-phenyl-1H-isoindole-4-carboxylic acid,C1C2=C(C(=CC=C2)C(=O)O)C(=O)N1C3=CC=CC=C3,C15H11NO3
494471,682.8,"(11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-13-yl)methyl 2-(3-methyl-2,5-dioxopyrrolidin-1-yl)benzoate",CCN1CC2(CCC(C34C2C(C(C31)(C5(CC(C6CC4C5C6OC)OC)O)O)OC)OC)COC(=O)C7=CC=CC=C7N8C(=O)CC(C8=O)C,C37H50N2O10
270885,197.23,ethenyl acetate;1-ethenylpyrrolidin-2-one,CC(=O)OC=C.C=CN1CCCC1=O,C10H15NO3
217785,239.65,1-(4-chlorophenyl)-5-oxopyrrolidine-3-carboxylic acid,C1C(CN(C1=O)C2=CC=C(C=C2)Cl)C(=O)O,C11H10ClNO3
162892,374.78,"[6-(5-chloropyridin-2-yl)-5-oxo-7H-pyrrolo[3,4-b]pyrazin-7-yl] piperazine-1-carboxylate",C1CN(CCN1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,C16H15ClN6O3
162548,404.8,"[6-(5-chloropyridin-2-yl)-5-oxo-7H-pyrrolo[3,4-b]pyrazin-7-yl] 4-methyl-4-oxidopiperazin-4-ium-1-carboxylate",C[N+]1(CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl)[O-],C17H17ClN6O4
101305,302.12,"2-(4-bromophenyl)isoindole-1,3-dione",C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC=C(C=C3)Br,C14H8BrNO2
97035,209.24,2-phenyl-3H-isoindol-1-one,C1C2=CC=CC=C2C(=O)N1C3=CC=CC=C3,C14H11NO
94776,237.25,"2-(2-methylphenyl)isoindole-1,3-dione",CC1=CC=CC=C1N2C(=O)C3=CC=CC=C3C2=O,C15H11NO2
88680,408.1,"5,6,7,8-tetrachloro-2,11-diazapentacyclo[10.7.1.02,10.04,9.016,20]icosa-1(19),4(9),5,7,10,12,14,16(20),17-nonaen-3-one",C1=CC2=C3C(=C1)N=C4C5=C(C(=C(C(=C5Cl)Cl)Cl)Cl)C(=O)N4C3=CC=C2,C18H6Cl4N2O
81867,257.67,"2-(4-chlorophenyl)isoindole-1,3-dione",C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC=C(C=C3)Cl,C14H8ClNO2
81344,270.3,"2,11-diazapentacyclo[10.7.1.02,10.04,9.016,20]icosa-1(19),4,6,8,10,12,14,16(20),17-nonaen-3-one",C1=CC=C2C(=C1)C3=NC4=CC=CC5=C4C(=CC=C5)N3C2=O,C18H10N2O
79252,273.3,"2-naphthalen-1-ylisoindole-1,3-dione",C1=CC=C2C(=C1)C=CC=C2N3C(=O)C4=CC=CC=C4C3=O,C18H11NO2
78375,161.20,1-phenylpyrrolidin-2-one,C1CC(=O)N(C1)C2=CC=CC=C2,C10H11NO
77035,173.17,"2-ethenylisoindole-1,3-dione",C=CN1C(=O)C2=CC=CC=C2C1=O,C10H7NO2
75335,189.21,"1-(4-methylphenyl)pyrrolidine-2,5-dione",CC1=CC=C(C=C1)N2C(=O)CCC2=O,C11H11NO2
27211,278.1,"1-(2,6-dichlorophenyl)-3H-indol-2-one",C1C2=CC=CC=C2N(C1=O)C3=C(C=CC=C3Cl)Cl,C14H9Cl2NO
159643871,2443.3,"5-(4-acetylphenyl)-4-[hydroxy-(4-propan-2-ylphenyl)methylidene]-1-(6-methylpyridazin-3-yl)pyrrolidine-2,3-dione;4-[(4-tert-butylphenyl)-hydroxymethylidene]-1-(6-methylpyridazin-3-yl)-5-[4-(trifluoromethoxy)phenyl]pyrrolidine-2,3-dione;4-[(4-cyclohexylphenyl)-hydroxymethylidene]-1-(6-methylpyridazin-3-yl)-5-[4-(trifluoromethoxy)phenyl]pyrrolidine-2,3-dione;4-[hydroxy-(4-propan-2-ylphenyl)methylidene]-1-(6-methylpyridazin-3-yl)-5-pyridin-4-ylpyrrolidine-2,3-dione;4-[hydroxy-[6-(trifluoromethyl)pyridin-3-yl]methylidene]-1-(6-methylpyridazin-3-yl)-5-[4-(trifluoromethoxy)phenyl]pyrrolidine-2,3-dione",CC1=NN=C(C=C1)N2C(C(=C(C3=CC=C(C=C3)C(C)C)O)C(=O)C2=O)C4=CC=C(C=C4)C(=O)C.CC1=NN=C(C=C1)N2C(C(=C(C3=CC=C(C=C3)C4CCCCC4)O)C(=O)C2=O)C5=CC=C(C=C5)OC(F)(F)F.CC1=NN=C(C=C1)N2C(C(=C(C3=CC=C(C=C3)C(C)(C)C)O)C(=O)C2=O)C4=CC=C(C=C4)OC(F)(F)F.CC1=NN=C(C=C1)N2C(C(=C(C3=CC=C(C=C3)C(C)C)O)C(=O)C2=O)C4=CC=NC=C4.CC1=NN=C(C=C1)N2C(C(=C(C3=CN=C(C=C3)C(F)(F)F)O)C(=O)C2=O)C4=CC=C(C=C4)OC(F)(F)F,C130H111F12N17O19
141754136,551.7,"2-[(1S)-1-cyclopropylethyl]-5-[4-methyl-2-[[6-(2-oxopyrrolidin-1-yl)pyridin-2-yl]amino]-1,3-thiazol-5-yl]-7-methylsulfonyl-3H-isoindol-1-one",CC1=C(SC(=N1)NC2=NC(=CC=C2)N3CCCC3=O)C4=CC5=C(C(=C4)S(=O)(=O)C)C(=O)N(C5)[C@@H](C)C6CC6,C27H29N5O4S2
46869947,393.8,"N-[3-chloro-4-[(1S,2R,7R)-3,5-dioxo-4-azatricyclo[5.2.1.02,6]dec-8-en-4-yl]phenyl]pyridine-2-carboxamide",C1[C@H]2C=C[C@@H]1C3[C@@H]2C(=O)N(C3=O)C4=C(C=C(C=C4)NC(=O)C5=CC=CC=N5)Cl,C21H16ClN3O3
44575473,682.8,"[(1S,2R,3R,4S,5R,6S,8R,9R,10S,13S,16S,17R,18S)-11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-13-yl]methyl 2-[(3S)-3-methyl-2,5-dioxopyrrolidin-1-yl]benzoate",CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2[C@@H]([C@]([C@H]31)([C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@H]5[C@H]6OC)OC)O)O)OC)OC)COC(=O)C7=CC=CC=C7N8C(=O)C[C@@H](C8=O)C,C37H50N2O10
25112175,257.24,"4,6-dihydroxy-2-(4-hydroxyphenyl)-3H-isoindol-1-one",C1C2=C(C=C(C=C2O)O)C(=O)N1C3=CC=C(C=C3)O,C14H11NO4
25018911,682.6,"1-(2,6-dichlorophenyl)sulfonyl-3-[1-[[4-(4,9-diethoxy-3-oxo-1H-benzo[f]isoindol-2-yl)-3-methylphenyl]methyl]cyclopropyl]urea",CCOC1=C2CN(C(=O)C2=C(C3=CC=CC=C31)OCC)C4=C(C=C(C=C4)CC5(CC5)NC(=O)NS(=O)(=O)C6=C(C=CC=C6Cl)Cl)C,C34H33Cl2N3O6S
24768935,471.5,"N-[(3aR,4R,5R,7R,7aS)-2-[4-cyano-3-(trifluoromethyl)phenyl]-4,7-dimethyl-1,3-dioxo-3a,5,6,7a-tetrahydro-4,7-epoxyisoindol-5-yl]ethanesulfonamide",CCS(=O)(=O)N[C@@H]1C[C@@]2([C@@H]3[C@H]([C@]1(O2)C)C(=O)N(C3=O)C4=CC(=C(C=C4)C#N)C(F)(F)F)C,C20H20F3N3O5S
16020046,425.4,"4-[4-(3-hydroxyphenyl)-3-(4-methylphenyl)-6-oxo-1,4-dihydropyrrolo[3,4-c]pyrazol-5-yl]benzoic acid",CC1=CC=C(C=C1)C2=NNC3=C2C(N(C3=O)C4=CC=C(C=C4)C(=O)O)C5=CC(=CC=C5)O,C25H19N3O4
15948325,603.7,"N-[[4-(5,9-diethoxy-6-oxo-8H-pyrrolo[3,4-g]quinolin-7-yl)-3-methylphenyl]methylsulfonyl]-2-(2-methoxyphenyl)acetamide",CCOC1=C2CN(C(=O)C2=C(C3=C1N=CC=C3)OCC)C4=C(C=C(C=C4)CS(=O)(=O)NC(=O)CC5=CC=CC=C5OC)C,C32H33N3O7S
14698919,277.67,4-(chloromethyl)-1-[3-(trifluoromethyl)phenyl]pyrrolidin-2-one,C1C(CN(C1=O)C2=CC=CC(=C2)C(F)(F)F)CCl,C12H11ClF3NO
10823890,239.23,"5-hydroxy-2-phenylisoindole-1,3-dione",C1=CC=C(C=C1)N2C(=O)C3=C(C2=O)C=C(C=C3)O,C14H9NO3
10303232,368.8,"(4E)-7-chloro-4-(2-oxo-1-phenylpyrrolidin-3-ylidene)-2,3-dihydro-1H-quinoline-2-carboxylic acid",C\1CN(C(=O)/C1=C/2\CC(NC3=C2C=CC(=C3)Cl)C(=O)O)C4=CC=CC=C4,C20H17ClN2O3
6913185,401.2,"4,6-dichloro-3-[(E)-(2-oxo-1-phenylpyrrolidin-3-ylidene)methyl]-1H-indole-2-carboxylic acid",C\1CN(C(=O)/C1=C/C2=C(NC3=C2C(=CC(=C3)Cl)Cl)C(=O)O)C4=CC=CC=C4,C20H14Cl2N2O3
3448473,238.24,"4-amino-2-phenylisoindole-1,3-dione",C1=CC=C(C=C1)N2C(=O)C3=C(C2=O)C(=CC=C3)N,C14H10N2O2
3043762,205.21,2-oxo-1-phenylpyrrolidine-3-carboxylic acid,C1CN(C(=O)C1C(=O)O)C2=CC=CC=C2,C11H11NO3
2985727,223.20,1-(3-fluorophenyl)-5-oxopyrrolidine-3-carboxylic acid,C1C(CN(C1=O)C2=CC(=CC=C2)F)C(=O)O,C11H10FNO3
2912208,284.11,1-(4-bromophenyl)-5-oxopyrrolidine-3-carboxylic acid,C1C(CN(C1=O)C2=CC=C(C=C2)Br)C(=O)O,C11H10BrNO3
2911491,219.24,1-(3-methylphenyl)-5-oxopyrrolidine-3-carboxylic acid,CC1=CC(=CC=C1)N2CC(CC2=O)C(=O)O,C12H13NO3
2902946,247.29,methyl 1-(4-ethylphenyl)-5-oxopyrrolidine-3-carboxylate,CCC1=CC=C(C=C1)N2CC(CC2=O)C(=O)OC,C14H17NO3
2900371,233.26,"1-(2,5-dimethylphenyl)-5-oxopyrrolidine-3-carboxylic acid",CC1=CC(=C(C=C1)C)N2CC(CC2=O)C(=O)O,C13H15NO3
2886035,302.35,"1-(3,5-dimethylphenyl)-3-(1H-1,2,4-triazol-5-ylsulfanyl)pyrrolidine-2,5-dione",CC1=CC(=CC(=C1)N2C(=O)CC(C2=O)SC3=NC=NN3)C,C14H14N4O2S
2883829,219.24,methyl 5-oxo-1-phenylpyrrolidine-3-carboxylate,COC(=O)C1CC(=O)N(C1)C2=CC=CC=C2,C12H13NO3
2792660,266.29,"3-anilino-1-phenylpyrrolidine-2,5-dione",C1C(C(=O)N(C1=O)C2=CC=CC=C2)NC3=CC=CC=C3,C16H14N2O2
2741827,219.24,1-(4-methylphenyl)-5-oxopyrrolidine-3-carboxylic acid,CC1=CC=C(C=C1)N2CC(CC2=O)C(=O)O,C12H13NO3
2737107,205.21,5-oxo-1-phenylpyrrolidine-3-carboxylic acid,C1C(CN(C1=O)C2=CC=CC=C2)C(=O)O,C11H11NO3
2736758,235.24,1-(4-methoxyphenyl)-5-oxopyrrolidine-3-carboxylic acid,COC1=CC=C(C=C1)N2CC(CC2=O)C(=O)O,C12H13NO4
2732613,288.34,"1-(4-methoxyphenyl)-3-piperidin-1-ylpyrrolidine-2,5-dione",COC1=CC=C(C=C1)N2C(=O)CC(C2=O)N3CCCCC3,C16H20N2O3
829359,239.27,2-(4-methoxyphenyl)-3H-isoindol-1-one,COC1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O,C15H13NO2
762600,268.22,"5-nitro-2-phenylisoindole-1,3-dione",C1=CC=C(C=C1)N2C(=O)C3=C(C2=O)C=C(C=C3)[N+](=O)[O-],C14H8N2O4
736761,177.20,1-(3-hydroxyphenyl)pyrrolidin-2-one,C1CC(=O)N(C1)C2=CC(=CC=C2)O,C10H11NO2
736110,240.10,1-(4-bromophenyl)pyrrolidin-2-one,C1CC(=O)N(C1)C2=CC=C(C=C2)Br,C10H10BrNO
695303,177.20,1-(2-hydroxyphenyl)pyrrolidin-2-one,C1CC(=O)N(C1)C2=CC=CC=C2O,C10H11NO2
692331,219.19,"3-(2,5-dioxopyrrolidin-1-yl)benzoic acid",C1CC(=O)N(C1=O)C2=CC=CC(=C2)C(=O)O,C11H9NO4
689981,265.26,"2-(4-acetylphenyl)isoindole-1,3-dione",CC(=O)C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3C2=O,C16H11NO3
683956,176.21,1-(3-aminophenyl)pyrrolidin-2-one,C1CC(=O)N(C1)C2=CC=CC(=C2)N,C10H12N2O
676146,176.21,1-(4-aminophenyl)pyrrolidin-2-one,C1CC(=O)N(C1)C2=CC=C(C=C2)N,C10H12N2O
667806,219.24,methyl 3-(2-oxopyrrolidin-1-yl)benzoate,COC(=O)C1=CC(=CC=C1)N2CCCC2=O,C12H13NO3
616999,237.25,"2-(4-methylphenyl)isoindole-1,3-dione",CC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3C2=O,C15H11NO2
570285,429.4,"1,3-dioxo-2-(4-phenacyloxycarbonylphenyl)isoindole-5-carboxylic acid",C1=CC=C(C=C1)C(=O)COC(=O)C2=CC=C(C=C2)N3C(=O)C4=C(C3=O)C=C(C=C4)C(=O)O,C24H15NO7
504333,257.67,"2-(3-chlorophenyl)isoindole-1,3-dione",C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC(=CC=C3)Cl,C14H8ClNO2
315153,435.5,"1-phenyl-3-(triphenyl-lambda5-phosphanylidene)pyrrolidine-2,5-dione",C1C(=P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)C(=O)N(C1=O)C5=CC=CC=C5,C28H22NO2P
314787,209.24,1-phenyl-3H-indol-2-one,C1C2=CC=CC=C2N(C1=O)C3=CC=CC=C3,C14H11NO
301117,197.19,"methyl 2-(3-methyl-2,5-dioxopyrrolidin-1-yl)prop-2-enoate",CC1CC(=O)N(C1=O)C(=C)C(=O)OC,C9H11NO4
299328,206.20,1-(4-nitrophenyl)pyrrolidin-2-one,C1CC(=O)N(C1)C2=CC=C(C=C2)[N+](=O)[O-],C10H10N2O3
269700,267.24,"2-(1,3-dioxoisoindol-2-yl)benzoic acid",C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC=CC=C3C(=O)O,C15H9NO4
265738,254.08,"1-(4-bromophenyl)pyrrolidine-2,5-dione",C1CC(=O)N(C1=O)C2=CC=C(C=C2)Br,C10H8BrNO2
250687,253.25,"2-(4-methoxyphenyl)isoindole-1,3-dione",COC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3C2=O,C15H11NO3
246499,267.24,"4-(1,3-dioxoisoindol-2-yl)benzoic acid",C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)O,C15H9NO4
187955,239.23,"2-(3-hydroxyphenyl)isoindole-1,3-dione",C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC(=CC=C3)O,C14H9NO3
178080,361.4,ethyl 3-[[(3S)-1-(4-carbamimidoylphenyl)-2-oxopyrrolidin-3-yl]carbamoylamino]propanoate,CCOC(=O)CCNC(=O)N[C@H]1CCN(C1=O)C2=CC=C(C=C2)C(=N)N,C17H23N5O4
96464,517.7,"3',6'-bis(diethylamino)-2-phenylspiro[isoindole-3,9'-xanthene]-1-one",CCN(CC)C1=CC2=C(C=C1)C3(C4=C(O2)C=C(C=C4)N(CC)CC)C5=CC=CC=C5C(=O)N3C6=CC=CC=C6,C34H35N3O2
93991,286.71,"2-(4-amino-2-methylphenyl)-5-chloroisoindole-1,3-dione",CC1=C(C=CC(=C1)N)N2C(=O)C3=C(C2=O)C=C(C=C3)Cl,C15H11ClN2O2
89372,257.28,"2-(2-methylphenyl)-3a,4,5,6,7,7a-hexahydro-4,7-epoxyisoindole-1,3-dione",CC1=CC=CC=C1N2C(=O)C3C4CCC(C3C2=O)O4,C15H15NO3
84888,209.63,"1-(3-chlorophenyl)pyrrolidine-2,5-dione",C1CC(=O)N(C1=O)C2=CC(=CC=C2)Cl,C10H8ClNO2
81369,209.63,"1-(4-chlorophenyl)pyrrolidine-2,5-dione",C1CC(=O)N(C1=O)C2=CC=C(C=C2)Cl,C10H8ClNO2
73324,251.28,"2-(2,6-dimethylphenyl)isoindole-1,3-dione",CC1=C(C(=CC=C1)C)N2C(=O)C3=CC=CC=C3C2=O,C16H13NO2
72094,364.8,"3-chloro-4-(2,5-dioxo-3-phenylpyrrolidin-1-yl)benzenesulfonamide",C1C(C(=O)N(C1=O)C2=C(C=C(C=C2)S(=O)(=O)N)Cl)C3=CC=CC=C3,C16H13ClN2O4S
59743,478.9,"2-(7-chloro-1,8-naphthyridin-2-yl)-3-[2-(1,4-dioxa-8-azaspiro[4.5]decan-8-yl)-2-oxoethyl]-3H-isoindol-1-one",C1CN(CCC12OCCO2)C(=O)CC3C4=CC=CC=C4C(=O)N3C5=NC6=C(C=C5)C=CC(=N6)Cl,C25H23ClN4O4
162624754,433.5,(4R)-1-[4-(4-fluorophenyl)phenyl]-4-[4-(furan-2-carbonyl)piperazin-1-yl]pyrrolidin-2-one,C1CN(CCN1[C@@H]2CC(=O)N(C2)C3=CC=C(C=C3)C4=CC=C(C=C4)F)C(=O)C5=CC=CO5,C25H24FN3O3
160272319,2480.7,"4-[[4-(dimethylamino)phenyl]-hydroxymethylidene]-1-(6-methylpyridazin-3-yl)-5-[4-(trifluoromethoxy)phenyl]pyrrolidine-2,3-dione;4-[hydroxy-(4-methylphenyl)methylidene]-5-[4-(1-methylpiperidin-4-yl)oxyphenyl]-1-(6-methylpyridazin-3-yl)pyrrolidine-2,3-dione;4-[hydroxy-(4-morpholin-4-ylphenyl)methylidene]-5-(4-methoxyphenyl)-1-(6-methylpyridazin-3-yl)pyrrolidine-2,3-dione;4-[hydroxy-(4-propan-2-ylphenyl)methylidene]-1-(6-methylpyridazin-3-yl)-5-[4-(2-morpholin-4-ylethoxy)phenyl]pyrrolidine-2,3-dione;4-[hydroxy-(4-propan-2-ylphenyl)methylidene]-1-(6-methylpyridin-3-yl)-5-(4-propan-2-ylphenyl)pyrrolidine-2,3-dione",CC1=CC=C(C=C1)C(=C2C(N(C(=O)C2=O)C3=NN=C(C=C3)C)C4=CC=C(C=C4)OC5CCN(CC5)C)O.CC1=NC=C(C=C1)N2C(C(=C(C3=CC=C(C=C3)C(C)C)O)C(=O)C2=O)C4=CC=C(C=C4)C(C)C.CC1=NN=C(C=C1)N2C(C(=C(C3=CC=C(C=C3)C(C)C)O)C(=O)C2=O)C4=CC=C(C=C4)OCCN5CCOCC5.CC1=NN=C(C=C1)N2C(C(=C(C3=CC=C(C=C3)N4CCOCC4)O)C(=O)C2=O)C5=CC=C(C=C5)OC.CC1=NN=C(C=C1)N2C(C(=C(C3=CC=C(C=C3)N(C)C)O)C(=O)C2=O)C4=CC=C(C=C4)OC(F)(F)F,C141H141F3N18O21
155118974,447.5,"2-[2-methoxy-4-(2-oxopyrrolidin-1-yl)anilino]-4-(oxan-4-ylamino)-7H-pyrrolo[2,3-d]pyrimidine-5-carbonitrile",COC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C(=CN4)C#N)C(=N3)NC5CCOCC5,C23H25N7O3
155118973,445.5,"4-(cyclopentylmethylamino)-2-[2-methoxy-4-(2-oxopyrrolidin-1-yl)anilino]-7H-pyrrolo[2,3-d]pyrimidine-5-carbonitrile",COC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C(=CN4)C#N)C(=N3)NCC5CCCC5,C24H27N7O2
155118903,445.5,"4-(cyclohexylamino)-2-[2-methoxy-4-(2-oxopyrrolidin-1-yl)anilino]-7H-pyrrolo[2,3-d]pyrimidine-5-carbonitrile",COC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C(=CN4)C#N)C(=N3)NC5CCCCC5,C24H27N7O2
155109148,377.4,"2-[2-methoxy-4-(2-oxopyrrolidin-1-yl)anilino]-4-(methylamino)-7H-pyrrolo[2,3-d]pyrimidine-5-carbonitrile",CNC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4=O)OC,C19H19N7O2
134812607,359.4,N-[4-(2-oxopyrrolidin-1-yl)phenyl]-2-pyridin-2-ylpyrimidine-5-carboxamide,C1CC(=O)N(C1)C2=CC=C(C=C2)NC(=O)C3=CN=C(N=C3)C4=CC=CC=N4,C20H17N5O2
